bookID,title,authors,average_rating,isbn,isbn13,language_code,num_pages,ratings_count,text_reviews_count,publication_date,publisher
1,Harry Potter and the Half-Blood Prince (Harry Potter  #6),J.K. Rowling/Mary GrandPr̩,4.57,439785960,9780439785969,eng,652,2095690,27591,2006-09-16T00:00:00Z,Scholastic Inc.
2,Harry Potter and the Order of the Phoenix (Harry Potter  #5),J.K. Rowling/Mary GrandPr̩,4.49,439358078,9780439358071,eng,870,2153167,29221,2004-09-01T00:00:00Z,Scholastic Inc.
4,Harry Potter and the Chamber of Secrets (Harry Potter  #2),J.K. Rowling,4.42,439554896,9780439554893,eng,352,6333,244,2003-11-01T00:00:00Z,Scholastic
5,Harry Potter and the Prisoner of Azkaban (Harry Potter  #3),J.K. Rowling/Mary GrandPr̩,4.56,043965548X,9780439655484,eng,435,2339585,36325,2004-05-01T00:00:00Z,Scholastic Inc.
8,Harry Potter Boxed Set  Books 1-5 (Harry Potter  #1-5),J.K. Rowling/Mary GrandPr̩,4.78,439682584,9780439682589,eng,2690,41428,164,2004-09-13T00:00:00Z,Scholastic
10,Harry Potter Collection (Harry Potter  #1-6),J.K. Rowling,4.73,439827604,9780439827607,eng,3342,28242,808,2005-09-12T00:00:00Z,Scholastic
30,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,4.59,345538374,9780345538376,eng,1728,101233,1550,2012-09-25T00:00:00Z,Ballantine Books
31,The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien,4.5,618517650,9780618517657,eng,1184,1710,91,2004-10-21T00:00:00Z,Houghton Mifflin Harcourt
34,The Fellowship of the Ring (The Lord of the Rings  #1),J.R.R. Tolkien,4.36,618346252,9780618346257,eng,398,2128944,13670,2003-09-05T00:00:00Z,Houghton Mifflin Harcourt
35,The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien/Alan  Lee,4.5,618260587,9780618260584,en-US,1216,1618,140,2002-10-01T00:00:00Z,Houghton Mifflin Harcourt
37,The Lord of the Rings: Complete Visual Companion,Jude Fisher,4.5,618510826,9780618510825,eng,224,359,6,2004-11-15T00:00:00Z,Houghton Mifflin Harcourt
74,The John McPhee Reader (John McPhee Reader  #1),John McPhee/William Howarth,4.42,374517193,9780374517199,eng,416,562,37,1982-06-01T00:00:00Z,Farrar  Straus and Giroux
75,Uncommon Carriers,John McPhee,3.95,374280398,9780374280390,en-US,248,1630,203,2006-05-16T00:00:00Z,Farrar Straus Giroux
76,Heirs of General Practice,John McPhee,4.17,374519749,9780374519742,eng,128,268,22,1986-04-01T00:00:00Z,Farrar  Straus and Giroux
77,The Control of Nature,John McPhee,4.24,374522596,9780374522599,en-US,288,3498,305,1990-09-01T00:00:00Z,Farrar  Straus and Giroux
78,Annals of the Former World,John McPhee,4.34,374518734,9780374518738,eng,720,3115,228,1999-01-06T00:00:00Z,Farrar  Straus and Giroux
79,Coming Into the Country,John McPhee,4.22,374522871,9780374522872,eng,448,5704,261,1991-04-01T00:00:00Z,Farrar  Straus and Giroux
81,Giving Good Weight,John McPhee,4.23,374516006,9780374516000,eng,288,542,36,1994-04-01T00:00:00Z,Farrar  Straus and Giroux
83,Rising from the Plains,John McPhee,4.23,374520658,9780374520656,eng,208,1341,98,1987-11-01T00:00:00Z,Farrar  Straus and Giroux
93,Heidi (Heidi  #1-2),Johanna Spyri/Beverly Cleary/Angelo  Rinaldi,3.99,753454947,9780753454947,eng,352,153317,2257,2002-11-15T00:00:00Z,Kingfisher
129,The Power of One: One Person  One Rule  One Month,John C. Maxwell/Stephen R. Graves/Thomas G. Addington,4.28,785260056,9780785260059,en-US,256,16,1,2004-11-01T00:00:00Z,Thomas Nelson
138,eBay: Top 100 Simplified Tips & Tricks,Julia Wilkinson,4.27,471933821,9780471933823,eng,260,9,0,2006-06-06T00:00:00Z,Wiley
163,The Untouchable,John Banville,3.95,679767479,9780679767473,eng,367,2163,216,1998-06-30T00:00:00Z,Vintage
