bookID,title,authors,average_rating,isbn,isbn13,language_code,num_pages,ratings_count,text_reviews_count,publication_date,publisher
107,Dreamer of Dune: The Biography of Frank Herbert,Brian Herbert,4.01,765306476,9780765306470,en-US,592,784,21,2004-07-01T00:00:00Z,Tor Books
159,Dinner with Anna Karenina,Gloria Goldreich,2.99,778322270,9780778322276,eng,360,411,65,2006-01-28T00:00:00Z,Mira Books
698,Digging to America,Anne Tyler,3.55,307263940,9780307263940,eng,277,17155,1841,2006-05-02T00:00:00Z,Alfred A. Knopf
975,Deception Point,Dan Brown,3.71,1416524800,9781416524809,eng,736,4919,410,2006-04-01T00:00:00Z,Pocket Books
977,Deception Point,Dan Brown,3.71,552151769,9780552151764,eng,585,3353,183,2004-05-01T00:00:00Z,Corgi Books
980,Deception Point,Dan Brown,3.71,593055071,9780593055076,eng,448,61,4,2005-08-01T00:00:00Z,Bantam Press
1976,Den of Thieves (Cat Royal  #3),Julia Golding,4.21,1405228180,9781405228183,eng,416,1432,61,2007-01-31T00:00:00Z,Egmont Books Ltd
1985,David Copperfield,Charles Dickens/Gish Jen,3.99,451530047,9780451530042,eng,928,355,17,2006-02-07T00:00:00Z,Signet
2326,Dirk Gently's Holistic Detective Agency (Dirk Gently #1),Douglas Adams,3.98,1597770078,9781597770071,eng,6,58,15,2005-09-30T00:00:00Z,Phoenix Audio
2423,Double Tap (Paul Madriani  #8),Steve Martini,3.92,515139734,9780515139730,en-US,401,2790,159,2005-12-27T00:00:00Z,Jove Books
2486,Death and the King's Horseman,Wole Soyinka/Simon Gikandi,3.76,393977617,9780393977615,en-US,254,259,30,2002-11-05T00:00:00Z,W. W. Norton & Company
2557,De Kooning: An American Master,Mark Stevens/Annalyn Swan,4.11,375711163,9780375711169,eng,732,2732,105,2006-04-04T00:00:00Z,Knopf Publishing Group
3368,Don't Make Me Think: A Common Sense Approach to Web Usability,Steve Krug,4.25,321344758,9780321344755,en-US,201,7736,641,2005-08-28T00:00:00Z,New Riders Publishing
3825,Death in Holy Orders (Adam Dalgliesh  #11),P.D. James/Christa Seibicke,3.92,345446666,9780345446664,eng,429,9847,516,2002-03-26T00:00:00Z,Fawcett Books
3828,Death of an Expert Witness (Adam Dalgliesh #6),P.D. James,3.99,571204201,9780571204205,eng,306,8045,265,2002-05-20T00:00:00Z,Gardners Books
3835,Don Quixote,Miguel de Cervantes Saavedra/Edith Grossman/Harold Bloom,3.87,60934344,9780060934347,eng,940,4956,705,2005-04-26T00:00:00Z,Ecco
3836,Don Quixote,Miguel de Cervantes Saavedra/John Rutherford/Roberto GonzÃ¡lez EchevarrÃ­a,3.87,142437239,9780142437230,eng,1023,160911,4087,2003-02-25T00:00:00Z,Penguin Books
3837,Don Quixote,Miguel de Cervantes Saavedra/Walter Starkie,3.87,451528905,9780451528902,en-US,544,71,5,2003-06-03T00:00:00Z,Signet Classics
3840,Don Quixote,Miguel de Cervantes Saavedra/Tobias Smollett/Carlos Fuentes,3.87,037575699X,9780375756993,eng,1168,393,40,2001-04-10T00:00:00Z,Modern Library
3848,Desert Heat (Joanna Brady  #1),J.A. Jance,4,727861158,9780727861153,eng,256,41,11,2004-09-01T00:00:00Z,Severn House Publishers
4295,David Foster Wallace's Infinite Jest: A Reader's Guide,Stephen J. Burn,3.82,082641477X,9780826414779,en-GB,96,900,48,2003-05-20T00:00:00Z,Bloomsbury Academic
4325,Dreamland,Sarah Dessen,3.91,142401757,9780142401750,eng,250,70043,3881,2004-05-11T00:00:00Z,Speak
